#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
  95 CMOVL                          0                2
  97 CMOVNB                         0               10
  98 CMOVNBE                        0              180
 104 CMOVNZ                         0              658
 107 CMOVS                          0                1
 108 CMOVZ                          0             1728
 109 CMP                        68938                0
 118 CMPXCHG                       78                0
 123 CMPXCHG_LOCK                  13                0
 126 CPUID                         29                0
 127 CQO                            3                0
 155 DEC                           77                0
 156 DEC_LOCK                       3                0
 157 DIV                         1841                0
 284 IDIV                           3                0
 285 IMUL                        1338                0
 287 INC                            2                0
 310 JB                          5188                0
 311 JBE                         6652                0
 314 JL                          1236                0
 315 JLE                         3326                0
 316 JMP                        14518                0
 318 JNB                         4811                0
 319 JNBE                        7970                0
 320 JNL                          127                0
 321 JNLE                         347                0
 324 JNS                         1087                0
 325 JNZ                        37630                0
 326 JO                             3                0
 329 JS                            87                0
 330 JZ                         53448                0
 388 LEA                        29060                0
 389 LEAVE                          5                0
 427 MOV                       194078                0
 429 MOVAPS                       742                0
 431 MOVD                         132                0
 436 MOVDQA                      2013                0
 437 MOVDQU                       557                0
 439 MOVHPD                      2584                0
 440 MOVHPS                       289                0
 442 MOVLPD                      2584                0
 454 MOVQ                         307                0
 464 MOVSX                        365                0
 465 MOVSXD                      6062                0
 467 MOVUPS                       236                0
 468 MOVZX                      26500                0
 472 MUL                            4                0
 480 NEG                          137                0
 482 NOP                         2919                0
 491 NOT                           20                0
 493 OR                          1195                0
 509 PADDD                         62                0
 510 PADDQ                        125                0
 526 PCMPEQB                     4162                0
 527 PCMPEQD                        1                0
 535 PCMPGTD                       31                0
 592 PMINUB                       156                0
 595 PMOVMSKB                    2075                0
 616 POP                        15850                0
 623 POR                          254                0
 634 PSHUFD                       130                0
 641 PSLLD                         31                0
 642 PSLLDQ                       449                0
 643 PSLLQ                         62                0
 649 PSRLDQ                       136                0
 652 PSUBB                       1813                0
 664 PUNPCKHDQ                     31                0
 665 PUNPCKHQDQ                    62                0
 667 PUNPCKLBW                    130                0
 668 PUNPCKLDQ                     31                0
 669 PUNPCKLQDQ                    66                0
 670 PUNPCKLWD                    130                0
 671 PUSH                       17789                0
 678 PXOR                        2444                0
 694 RDTSC                          9                0
 740 RET_NEAR                    6985                0
 743 ROL                          112                0
 744 ROR                           20                0
 756 SAR                         1698                0
 759 SBB                            8                0
 770 SETB                         216                0
 771 SETBE                        284                0
 775 SETNBE                       178                0
 777 SETNLE                         1                0
 781 SETNZ                       2694                0
 786 SETZ                        1459                0
 796 SHL                         4646                0
 799 SHR                         8316                0
 821 STOSQ                          0             1862
 826 SUB                        14307                0
 833 SYSCALL                      104                0
 847 TEST                       53211                0
 856 TZCNT                        428                0
1227 VMOVD                         60                0
